username,avg_click_interval,click_variability_std,inhibitory_failures,reflexive_fast_clicks,total_errors,perseverative_errors,total_mouse_distance,total_score
Simulated_Clone_0,1326.1924115528443,225.14292936380582,0,1,5,0,6873.927317082275,8
Simulated_Clone_1,1209.1282033157834,284.67197356846737,0,0,1,0,7740.658921471395,8
Simulated_Clone_2,1354.0259494282843,84.39399445330223,1,0,8,0,1018.5638558595642,8
Simulated_Clone_3,1515.4032964703542,203.15291315427828,0,0,3,0,759.5119527119455,8
Simulated_Clone_4,1191.4501570765276,129.67622640091201,1,1,5,0,1100.9973209057162,8
Simulated_Clone_5,1191.4531838465225,139.57618036455636,0,0,3,0,2448.538400440673,8
Simulated_Clone_6,1525.7611496857849,133.20282148953524,2,0,6,0,1205.548022772719,8
Simulated_Clone_7,1376.1022780857359,116.75931274968063,1,0,5,0,1115.7051499026988,8
Simulated_Clone_8,1148.066530943099,172.00629310840134,1,0,5,0,2434.995385322323,8
Simulated_Clone_9,1334.644529645519,118.75971989694918,1,0,2,0,4539.409187500456,8
Simulated_Clone_10,1149.1831388850678,185.44309632073782,1,0,4,1,5145.238378468047,8
Simulated_Clone_11,1148.756888891506,166.02700199275216,1,1,2,0,1636.106051397396,8
Simulated_Clone_12,1279.2265230225282,154.60178274846962,1,0,3,0,1727.6497837395434,8
Simulated_Clone_13,881.8874368555003,114.12124368371465,0,0,2,0,3991.1741683558594,8
Simulated_Clone_14,916.6138066938935,134.14867288609173,0,0,9,0,2042.2079057363549,8
Simulated_Clone_15,1130.9555611715314,214.8028741652304,0,0,3,0,7104.496892467116,8
Simulated_Clone_16,1047.8936424241513,199.39604547236834,1,0,1,0,8318.658940788882,8
Simulated_Clone_17,1292.5529491099314,109.88368635527192,1,0,5,0,1200.2061553349163,8
Simulated_Clone_18,1067.2157999523502,175.08256528651214,0,0,4,0,2046.3317876145638,8
Simulated_Clone_19,974.2471413511441,214.56045053328364,1,1,6,0,8161.934507859474,8
Simulated_Clone_20,1504.8245570971667,67.9964468312893,0,0,4,0,3072.1543994004137,8
Simulated_Clone_21,1192.9945489474876,201.96570683390058,0,0,7,0,5721.7748503183475,8
Simulated_Clone_22,1247.0679737140345,128.95083947947973,1,0,3,0,3186.6856692206184,8
Simulated_Clone_23,971.9528843419732,203.61482805600204,3,0,6,2,9327.858648598094,8
Simulated_Clone_24,1134.25647913794,122.85798874245086,1,0,5,0,5356.1017986242805,8
Simulated_Clone_25,1255.0681338628833,59.79416354413007,0,1,3,1,5570.5760897065,8
Simulated_Clone_26,1022.4221031293187,70.53098300215336,0,1,0,0,5640.051218394241,8
Simulated_Clone_27,1303.8819569299799,171.97985475824598,0,0,5,0,1462.6992254030388,8
Simulated_Clone_28,1123.885166530341,184.79319940760007,2,0,3,0,1804.937144107965,8
Simulated_Clone_29,1180.8420515497044,114.31783168225573,0,0,4,0,6396.010492669548,8
Simulated_Clone_30,1123.6882850788134,207.73143140363948,0,0,3,0,4001.4230393664693,8
Simulated_Clone_31,1576.1033006809485,68.47384805038223,0,0,11,0,856.137231805998,8
Simulated_Clone_32,1232.1301790844216,165.06788571744562,1,0,3,0,10507.944972826199,8
Simulated_Clone_33,1039.6196305620185,95.74906985362894,1,0,10,0,7173.899637378323,8
Simulated_Clone_34,1386.2623549991813,129.60396501772277,0,0,5,0,3670.688439395925,8
Simulated_Clone_35,1009.5445899092118,171.93830503179532,1,0,3,0,2511.7221720533685,8
Simulated_Clone_36,1273.124472882371,116.9759024540046,2,0,0,0,4270.606779977765,8
Simulated_Clone_37,873.3350293752717,145.78614959339208,0,0,5,0,5458.319056842876,8
Simulated_Clone_38,989.7550161718109,229.9934128204087,1,1,4,0,4042.5108545386906,8
Simulated_Clone_39,1270.9117258829492,134.14137499809974,0,1,4,0,11399.1467726805,8
Simulated_Clone_40,1370.7617292484024,219.6645960403562,1,0,5,0,588.1659731021191,8
Simulated_Clone_41,1266.2118616033324,100.67184767416137,1,0,8,1,3523.4297333257227,8
Simulated_Clone_42,1213.297677594574,201.14497402323335,2,0,4,0,3660.4093701723586,8
Simulated_Clone_43,1179.107240160581,256.3466703411191,0,0,2,0,10968.90483859068,8
Simulated_Clone_44,962.0391813403737,19.42582522572215,1,0,1,1,3202.262182581936,8
Simulated_Clone_45,1101.9085159117972,120.82153104428227,1,0,8,0,9447.805062949159,8
Simulated_Clone_46,1149.695459081593,204.00675592499425,0,0,8,0,5045.61043834984,8
Simulated_Clone_47,1429.508873627426,156.7754667471752,1,0,4,0,52.54551483125488,8
Simulated_Clone_48,1297.9677593300012,191.53919523304265,0,0,1,0,4032.32102306306,8
Simulated_Clone_49,909.5856004434877,132.50104225665697,0,0,9,0,3089.0768364579462,8
Simulated_Clone_50,1294.3664249705166,174.31108465667486,1,0,4,0,507.69365674052233,8
Simulated_Clone_51,1163.6250037525708,159.64331522293517,0,0,2,0,4863.065244797617,8
Simulated_Clone_52,1109.821625833244,239.77058799218497,1,0,4,0,3612.862275370581,8
Simulated_Clone_53,1347.3867549506306,184.47221678930833,1,0,3,0,5603.229672627517,8
Simulated_Clone_54,1424.6929092302125,189.50836130632737,1,0,7,0,4250.778022908162,8
Simulated_Clone_55,1406.3087059149152,144.13200652355073,1,0,6,0,1105.1343403943456,8
Simulated_Clone_56,1079.900930468669,139.54706845866914,0,0,5,0,6392.614556619959,8
